"observation_number","dist_cod","county","district","gr_span","enrl_tot","teachers","calw_pct","meal_pct","computer","testscr","comp_stu","expn_stu","str","avginc","el_pct","read_scr","math_scr"
1.000000,75119.000000,"Alameda","Sunol Glen Unified","KK-08",195.000000,10.900000,0.510200,2.040800,67.000000,690.799988,0.343590,6384.911133,17.889910,22.690001,0.000000,691.599976,690.000000
2.000000,61499.000000,"Butte","Manzanita Elementary","KK-08",240.000000,11.150000,15.416700,47.916698,101.000000,661.200012,0.420833,5099.380859,21.524664,9.824000,4.583333,660.500000,661.900024
3.000000,61549.000000,"Butte","Thermalito Union Elementary","KK-08",1550.000000,82.900002,55.032299,76.322601,169.000000,643.599976,0.109032,5501.954590,18.697226,8.978000,30.000002,636.299988,650.900024
4.000000,61457.000000,"Butte","Golden Feather Union Elementary","KK-08",243.000000,14.000000,36.475399,77.049202,85.000000,647.700012,0.349794,7101.831055,17.357143,8.978000,0.000000,651.900024,643.500000
5.000000,61523.000000,"Butte","Palermo Union Elementary","KK-08",1335.000000,71.500000,33.108601,78.427002,171.000000,640.849976,0.128090,5235.987793,18.671329,9.080333,13.857677,641.799988,639.900024
6.000000,62042.000000,"Fresno","Burrel Union Elementary","KK-08",137.000000,6.400000,12.318800,86.956497,25.000000,605.550049,0.182482,5580.146973,21.406250,10.415000,12.408759,605.700012,605.400024
7.000000,68536.000000,"San Joaquin","Holt Union Elementary","KK-08",195.000000,10.000000,12.903200,94.623703,28.000000,606.750000,0.143590,5253.331055,19.500000,6.577000,68.717949,604.500000,609.000000
8.000000,63834.000000,"Kern","Vineland Elementary","KK-08",888.000000,42.500000,18.806299,100.000000,66.000000,609.000000,0.074324,4565.746094,20.894117,8.174000,46.959461,605.500000,612.500000
9.000000,62331.000000,"Fresno","Orange Center Elementary","KK-08",379.000000,19.000000,32.189999,93.139801,35.000000,612.500000,0.092348,5355.548340,19.947369,7.385000,30.079157,608.900024,616.099976
10.000000,67306.000000,"Sacramento","Del Paso Heights Elementary","KK-06",2247.000000,108.000000,78.994202,87.316399,0.000000,612.650024,0.000000,5036.211426,20.805555,11.613333,40.275921,611.900024,613.400024
11.000000,65722.000000,"Merced","Le Grand Union Elementary","KK-08",446.000000,21.000000,18.609900,85.874397,86.000000,615.750000,0.192825,4547.692383,21.238094,8.931000,52.914799,612.799988,618.700012
12.000000,62174.000000,"Fresno","West Fresno Elementary","KK-08",987.000000,47.000000,71.713097,98.605598,56.000000,616.299988,0.056738,5447.345215,21.000000,7.385000,54.609932,616.599976,616.000000
